,kita_name,kita_address,kita_spots,plz
244,ev. kindertagesstätte st. pankratius ochsenwerder,"21037 Hamburg, Graumanntwiete 5",0,21037
245,ev. kindergarten st. severini kirchwerder,"21037 Hamburg, Kirchenheerweg 6",55,21037
246,ev. kindergarten fünfhausen st. severini,"21037 Hamburg, Lauweg 16",0,21037
247,kindergarten grashüpfer,"21037 Hamburg, Kirchwerder Landweg 248",0,21037
248,kindergarten pusteblume kirchwerder,"21037 Hamburg, Sander Deichweg 9",0,21037
249,elkes 7 zwerge kindertagesstätte 2,"21037 Hamburg, Kirchenheerweg 103",0,21037
250,kita storchennest,"21037 Hamburg, Kraueler Hauptdeich 73",0,21037
251,kita curslacker deich,"21039 Hamburg, Curslacker Deich 140",0,21039
252,ev. kindertagesstätte st. johannis zu neuengamme,"21039 Hamburg, Feldstegel 18 a",100,21039
253,ev. kindergarten st. nicolai,"21039 Hamburg, Kirchenstegel 11",88,21039
254,kindertagesstätte `wirbelwind´,"21039 Hamburg, Boldtstraße 15",56,21039
255,kita schmusebacke - kita curslack,"21039 Hamburg, Curslacker Heerweg 263",110,21039
256,kindergarten escheburger strolche e. v.,"
Schleswig-Holstein, 21039 Escheburg, Schulweg 3",95,0
257,kindertagesstätte 'krümelkiste',"
Schleswig-Holstein, 21039 Börnsen, Hamfelderedder 17",140,0
258,kindertagesstätte flohzirkus börnsen,"
Schleswig-Holstein, 21039 Börnsen, Steinredder 1 b",38,0
259,asb kita kirchenhang,"21073 Hamburg, Kirchenhang 33",60,21073
260,kita baererstrasse,"21073 Hamburg, Baererstrasse 85",0,21073
261,kita eddelbüttelstraße,"21073 Hamburg, Eddelbüttelstraße  9",0,21073
262,kita harburger rathauspassage,"21073 Hamburg, Harburger Rathauspassage 4",0,21073
263,kindertagesstätte  `kerni-kids´,"21073 Hamburg, Wilhelmstraße 35",0,21073
264,kinderzentrum kennedy-haus,"21073 Hamburg, Kalischerstraße 18",0,21073
265,elkes 7 zwerge kindertagesstätte 1,"21073 Hamburg, Kirchwerder Elbdeich 126",0,21073
266,kita rathausspatzen,"21073 Hamburg, Harburger Rathausstraße 40",0,21073
267,kita bremer straße,"21073 Hamburg, Bremer Straße 105 b",90,21073
268,kita harmsstraße,"21073 Hamburg, Harmsstraße 21",0,21073
269,kita kunterbunt,"21073 Hamburg, Haeckelstraße 2",0,21073
270,kinderladen marienkäfer,"21073 Hamburg, Marienstraße 46 a",60,21073
271,kindergarten unizwerge,"21073 Hamburg, Kroosweg 9 a",65,21073
272,asb kita sehpferdchen,"21075 Hamburg, Nobléestraße 38",75,21075
273,kita bissingstraße,"21075 Hamburg, Bissingstraße 31",0,21075
274,ev. kindertagesstätte st. petrus,"21075 Hamburg, Haakestraße 98",0,21075
275,ev. kindertagesstätte luther,"21075 Hamburg, Lühmannstraße 13 a + b",195,21075
276,ev. kita st. paulus,"21075 Hamburg, Petersweg 1a",61,21075
277,kindertagesstätte farbenspiel,"21075 Hamburg, An der Rennkoppel 1a",165,21075
278,kita kinderwaldschlösschen,"21075 Hamburg, Hans-Dewitz-Ring 2 c",90,21075
279,kita kunterbunt an der asklepios klinik harburg,"21075 Hamburg, Eißendorfer Pferdeweg 52",0,21075
280,praxisausbildungsstätte (pas) petersweg,"21075 Hamburg, Petersweg 2",0,21075
281,awo wald-kita harburg,"21077 Hamburg, Vahrendorfer Stadtweg 12",48,21077
282,kita elfenwiese,"21077 Hamburg, Elfenwiese 5-7",0,21077
283,kita ernst-bergeest-weg,"21077 Hamburg, Ernst-Bergeest-Weg 46",0,21077
284,kita sinstorfer kirchweg,"21077 Hamburg, Sinstorfer Kirchweg 2",0,21077
285,ev. kindertagesstätte paul-gerhardt,"21077 Hamburg, Eigenheimweg 52",0,21077
286,kita  `alte forst´ der pestalozzi-stiftung,"21077 Hamburg, In der Alten Forst 1",60,21077
287,kindergarten an der außenmühle,"21077 Hamburg, Marmstorfer Weg 33",36,21077
288,sinstorfer kinderstube,"21077 Hamburg, Winsener Straße 152",44,21077
289,harburger krabbelkiste e.v.,"21077 Hamburg, Beutnerring 2",45,21077
290,kita harburger berge,"21077 Hamburg, Hainholzweg 124",90,21077
291,kindergarten zwergenland,"21077 Hamburg, Hainholzweg 38",16,21077
292,naturkindergarten vogelhüttenberg,"21077 Hamburg, Bremer Straße 242a",45,21077
293,kita schneverdinger weg,"21079 Hamburg, Schneverdinger Weg 1 a",0,21079
294,kita bugenhagen,"21079 Hamburg, Rönneburger Straße 48",46,21079
295,kath. kindertagesstätte st. franziskus,"21079 Hamburg, Reeseberg 10 a",107,21079
296,kinderzentrum harburg,"21079 Hamburg, Schneverdinger Weg 1b",0,21079
297,kindertagesstätte radickestraße,"21079 Hamburg, Radickestraße 58",0,21079
298,kita harburger schlossinsel,"21079 Hamburg, Zitadellenstraße 4",70,21079
299,kita heinrich buchholz-haus,"21079 Hamburg, Vogteistraße 23",130,21079
300,kita janusz korczak-haus,"21079 Hamburg, Scheeßeler Kehre 4",100,21079
301,kinderstadt kita hafencampus,"21079 Hamburg, Theodor-Yorck-Straße 23a",51,21079
302,kinderhaus fleethaus,"21079 Hamburg, Schellerdamm 2",0,21079
303,kita lillehus,"21079 Hamburg, Reeseberg 178 b",40,21079
304,kinderland moorburg,"21079 Hamburg, Moorburger Elbdeich 249",60,21079
305,kita rasselbande,"21079 Hamburg, Petersdorfstraße 27",25,21079
306,kindertagesstätte sternenkinder,"21079 Hamburg, Bostelbeker Damm 2",30,21079
307,awo kita tigerente,"21107 Hamburg, Schlöperstieg 1 a",100,21107
308,interkultureller waldorfkindergarten,"21107 Hamburg, Georg-Wilhelm-Straße 43-45",38,21107
309,kita eckermannstraße,"21107 Hamburg, Eckermannstraße 3",0,21107
310,kita rotenhäuser damm,"21107 Hamburg, Rotenhäuser Damm 90",0,21107
311,kita sanitasstraße,"21107 Hamburg, Sanitasstraße 11",0,21107
312,ev.kindergarten paul-gerhardt,"21107 Hamburg, Georg-Wilhelm-Straße 121",36,21107
313,ev. kindertagesstätte emmaus,"21107 Hamburg, Mannesallee 13",0,21107
314,kath. kindertagesstätte st. bonifatius,"21107 Hamburg, Veringstraße 161",160,21107
315,kita fakiha,"21107 Hamburg, Weimarer Straße 15",100,21107
316,kita bernhard dey-haus `vogelhütte´,"21107 Hamburg, Hans-Sander-Straße 7",75,21107
317,inselkinder e.v.,"21107 Hamburg, Rotenhäuser Damm 58",20,21107
318,asb kita koppelstieg,"21109 Hamburg, Koppelstieg 40",130,21109
319,kita auf der höhe,"21109 Hamburg, Auf der Höhe 51",60,21109
320,kita kirchdorfer straße,"21109 Hamburg, Kirchdorfer Straße 185",0,21109
321,kita otto-brenner-straße,"21109 Hamburg, Otto-Brenner-Straße 45",0,21109
